교차로명,오전 첨두(대/시),오후 첨두(대/시),주간 교통량(대/16시간),24간 교통량(대/일)
운암사거리,8815,7622,107397,117170
동운고가사거리,9851,8138,119572,131852
광천사거리,9198,8841,120203,131141
농성광장,8223,7908,103640,113071
월산마을사거리,4924,4757,65842,71834
백운광장,6108,5845,86600,92842
남광주교차로,6621,5712,76813,83803
산수오거리,3496,3341,46333,50549
서방사거리,5211,4498,62671,68374
신안교삼거리,5019,4483,65799,71787
천교사거리,3974,3680,48576,52996
대인교차로,3932,3750,47735,52079
광주역교차로,3750,3543,44670,48735
임동오거리,4853,4340,53371,58228
광주대입구교차로,7031,6661,81691,89778
문화사거리,5800,5621,79745,87640
북부서사거리,5311,4846,68557,75344
흑석사거리,5620,5453,67855,74573
상무지구입구교차로,7894,7455,97846,107533
영광통사거리,4842,4861,62354,68527
풍암사거리,13881,12190,164919,181246
풍금사거리,3672,3866,51126,56187
금남로4가역사거리,3190,3253,43599,47902
광주여대사거리,13053,11626,172176,189011
주월교차로,6344,5750,82390,89887
전대입구사거리,5259,4984,65845,71837
양산지구사거리,4654,4871,59673,65581
계수교차로,16389,13413,232322,259153
신가지구입구사거리,6116,5826,70655,77650
우석교차로,15587,14174,195946,215736
서창교차로,14923,13751,165957,178987
산월 I.C,16955,14722,195121,213796
선운사거리,10702,9000,132821,145970
상무교차로,15535,14911,214227,228891
금호자동차학원,6885,6023,72557,79740
행암교차로,5477,4739,62516,68705
응용교차로,7707,6861,74749,82149
연제교차로,10348,9379,120501,132507
북구청사거리,3841,3717,46719,50970
수완성덕교사거리,6680,7016,89751,98636
하남산단6번로사거리,4597,4260,52536,57737
평동산단입구사거리,4134,4347,50385,55373
운수I.C.,14522,12702,179125,196858
상무역사거리,5814,6334,75152,82592
문화예술회관앞교차로,4558,4117,51487,56584
북구일곡교차로,4451,4288,42333,46524
오선교차로,6738,5808,77094,84726
북광산교차로,5813,5106,59699,65609
공항역교차로,6390,5740,72597,79784
유덕1교차로,11454,11210,161857,177881
